TAXONOMY_UID,TAXONOMY_taxon_rank,TAXONOMY_taxon_name,TAXONOMY_superkingdom,TAXONOMY_phylum,TAXONOMY_class,TAXONOMY_order,TAXONOMY_family,TAXONOMY_genus,TAXONOMY_species,TAXONOMY_strain,TAXONOMY_superkingdom_id,TAXONOMY_phylum_id,TAXONOMY_class_id,TAXONOMY_order_id,TAXONOMY_family_id,TAXONOMY_genus_id,TAXONOMY_species_id,TAXONOMY_strain_id,TAXONOMY_taxon_lineage
1590,species,Lactiplantibacillus plantarum,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus_plantarum,,2.0,1239.0,91061.0,186826.0,33958.0,2767842.0,1590.0,-1.0,Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus;Lactiplantibacillus_plantarum;
562,species,Escherichia coli,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia_coli,,2.0,1224.0,1236.0,91347.0,543.0,561.0,562.0,-1.0,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia_coli;
158836,species,Enterobacter hormaechei,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter_hormaechei,,2.0,1224.0,1236.0,91347.0,543.0,547.0,158836.0,-1.0,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter_hormaechei;
44008,species,Enterococcus cecorum,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_cecorum,,2.0,1239.0,91061.0,186826.0,81852.0,1350.0,44008.0,-1.0,Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus_cecorum;
1478,species,Peribacillus simplex,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Peribacillus,Peribacillus_simplex,,2.0,1239.0,91061.0,1385.0,186817.0,2675229.0,1478.0,-1.0,Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Peribacillus;Peribacillus_simplex;
208224,species,Enterobacter kobei,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter_kobei,,2.0,1224.0,1236.0,91347.0,543.0,547.0,208224.0,-1.0,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter_kobei;
2202141,species,Chromobacterium phragmitis,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,Chromobacterium_phragmitis,,2.0,1224.0,28216.0,206351.0,1499392.0,535.0,2202141.0,-1.0,Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Chromobacterium;Chromobacterium_phragmitis;
3078812,species,Aerococcus tenax,Bacteria,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus_tenax,,2.0,1239.0,91061.0,186826.0,186827.0,1375.0,3078812.0,-1.0,Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;Aerococcus_tenax;
3153519,species,Pontimicrobium sp. SW4,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Pontimicrobium,Pontimicrobium_sp._SW4,,2.0,976.0,117743.0,200644.0,49546.0,2918913.0,3153519.0,-1.0,Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Pontimicrobium;Pontimicrobium_sp._SW4;
1254,species,Pediococcus acidilactici,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus_acidilactici,,2.0,1239.0,91061.0,186826.0,33958.0,1253.0,1254.0,-1.0,Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus;Pediococcus_acidilactici;
59779,species,Paracoccus marcusii,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,Paracoccus_marcusii,,2.0,1224.0,28211.0,204455.0,31989.0,265.0,59779.0,-1.0,Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus;Paracoccus_marcusii;
287,species,Pseudomonas aeruginosa,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_aeruginosa,,2.0,1224.0,1236.0,72274.0,135621.0,286.0,287.0,-1.0,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_aeruginosa;
1428,species,Bacillus thuringiensis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_thuringiensis,,2.0,1239.0,91061.0,1385.0,186817.0,1386.0,1428.0,-1.0,Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_thuringiensis;
1423,species,Bacillus subtilis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_subtilis,,2.0,1239.0,91061.0,1385.0,186817.0,1386.0,1423.0,-1.0,Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_subtilis;
915,species,Nitrosomonas europaea,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,Nitrosomonas_europaea,,2.0,1224.0,28216.0,32003.0,206379.0,914.0,915.0,-1.0,Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas;Nitrosomonas_europaea;
